"","Land_use","species","guild","A_match","SD_match","A_mtheta","A_nopartners","p_value","forest_cover","Coef_matchr"
"2085","Core",48,"hosts",0.327829180297425,0.0757188933168336,0.598607560166124,0.75177304964539,0.25,0.5,0.23097057207701
"2086","Core",49,"hosts",0.327922078466822,0.0992093567106954,0.679612105147345,0.939334637964775,0.25,0.5,0.302539423922117
"2087","Core",50,"hosts",0.240138848983923,0.0504640432556378,0.124730718611216,6.85587583148559,0.25,0.5,0.210145269993429
"2088","Core",50,"parasites",0.422375332364756,0.0564825931294949,0.309719024419365,1,0.25,0.5,0.13372606968609
"2089","Core",51,"hosts",0.296530797723804,0.0667586939786643,0.593265352755421,0.816816816816817,0.25,0.5,0.225132412859338
"2090","Core",51,"parasites",0.424351513493786,0.0568288498044511,0.310978836107668,1,0.25,0.5,0.133919281532816
"2091","Core",52,"parasites",0.424466986453611,0.0551843210126061,0.319826819919299,1,0.25,0.5,0.130008511318317
"2092","Core",53,"parasites",0.393531407013876,0.0589993835226759,0.38345112334551,1.61988304093567,0.25,0.5,0.149922934919895
"2093","Core",55,"parasites",0.395937162124703,0.0556656056953655,0.622279484852828,1.68622448979592,0.25,0.5,0.140592020705127
"2094","Core",56,"parasites",0.450900236662225,0.0504072921224892,0.357844948707253,1,0.25,0.5,0.111792560801537
"2095","Core",57,"parasites",0.447793204914233,0.0473759950807875,0.379964210571806,1,0.25,0.5,0.105798825352568
"2096","Core",58,"parasites",0.399020874602965,0.0645459587235927,0.562006730256048,1.58260869565217,0.25,0.5,0.161760857217852
"2097","Core",59,"parasites",0.402094813732717,0.06436790551508,0.549146161574291,1.60734463276836,0.25,0.5,0.160081411937501
"2098","Core",60,"parasites",0.397881043087736,0.0609498410965689,0.577588842140444,1.60650887573965,0.25,0.5,0.153186089549707
"2099","Core",61,"parasites",0.395016600614342,0.0607117160597169,0.566640853953609,1.60112359550562,0.25,0.5,0.153694087704912
"2100","Core",62,"parasites",0.444766621226951,0.0523828847556243,0.364490434654087,1,0.25,0.5,0.117776115058092
"2101","Core",63,"parasites",0.446712917278243,0.0466766730211261,0.366391338097622,1,0.25,0.5,0.104489194773055
"2102","Core",64,"parasites",0.452040779970063,0.052307491869684,0.370637798101314,1,0.25,0.5,0.115714099672928
"2103","Core",65,"parasites",0.451038068666225,0.0503162132660826,0.378655389706177,1,0.25,0.5,0.111556466652303
"2104","Core",66,"parasites",0.451987488175515,0.0491789614520805,0.36250723209093,1,0.25,0.5,0.108806023924679
